,,,,,23-MAY-2016,17:06:58,2199203,
,9.9582330E-01,Vdc,,
,9.9583220E-01,Vdc,,
,9.9591480E-01,Vdc,,
,9.9583370E-01,Vdc,,
,9.9582390E-01,Vdc,,
,9.9582750E-01,Vdc,,
,9.9592580E-01,Vdc,,
,9.9582720E-01,Vdc,,
,9.9583340E-01,Vdc,,
,9.9589150E-01,Vdc,,
,9.9583310E-01,Vdc,,
,9.9581880E-01,Vdc,,
,9.9586050E-01,Vdc,,
,9.9588440E-01,Vdc,,
,9.9582810E-01,Vdc,,
,9.9582360E-01,Vdc,,
,4.9199130E+00,Vdc,,
,4.9211870E+00,Vdc,,
,4.9218300E+00,Vdc,,
,4.9220600E+00,Vdc,,
,4.9222500E+00,Vdc,,
,4.9224790E+00,Vdc,,
,4.9224910E+00,Vdc,,
,4.9225840E+00,Vdc,,
,1.9919170E+00,Vdc,,
,1.9775810E+00,Vdc,,
,1.9765360E+00,Vdc,,
,1.9761580E+00,Vdc,,
,1.9760240E+00,Vdc,,
,1.9758300E+00,Vdc,,
,9.9692420E-01,Vdc,,
,9.9659180E-01,Vdc,,
,9.9631750E-01,Vdc,,
,9.9622540E-01,Vdc,,
,9.9616640E-01,Vdc,,
,9.9616320E-01,Vdc,,
,9.9604640E-01,Vdc,,
,9.9603150E-01,Vdc,,
,9.9605210E-01,Vdc,,
,9.9598270E-01,Vdc,,
,9.9595820E-01,Vdc,,
,9.9603660E-01,Vdc,,
,9.9593740E-01,Vdc,,
,9.9593410E-01,Vdc,,
,9.9591680E-01,Vdc,,
,1.9749220E+00,Vdc,,
,1.9750920E+00,Vdc,,
,1.9752140E+00,Vdc,,
,1.9753360E+00,Vdc,,
,1.9753090E+00,Vdc,,
,1.9753450E+00,Vdc,,
,1.9754040E+00,Vdc,,
,1.9754030E+00,Vdc,,
,1.9754020E+00,Vdc,,
,1.9753990E+00,Vdc,,
,1.9754670E+00,Vdc,,
,1.9754130E+00,Vdc,,
,1.9754280E+00,Vdc,,
,1.9755210E+00,Vdc,,
,1.9754370E+00,Vdc,,
,3.9067380E+00,Vdc,,
,3.9330110E+00,Vdc,,
,3.9339160E+00,Vdc,,
,3.9343300E+00,Vdc,,
,3.9344730E+00,Vdc,,
,3.9345920E+00,Vdc,,
,3.9347730E+00,Vdc,,
,3.9347710E+00,Vdc,,
,3.9348150E+00,Vdc,,
,3.9355980E+00,Vdc,,
,3.9349670E+00,Vdc,,
,3.9349160E+00,Vdc,,
,3.9349400E+00,Vdc,,
,3.9350300E+00,Vdc,,
,3.9349820E+00,Vdc,,
,3.9349820E+00,Vdc,,
,5.8858980E+00,Vdc,,
